Baisley Park,Queens,29.360455469016753
Flushing Meadows-Corona Park,Queens,27.304845315981304
South Jamaica,Queens,26.29491594969107
Randalls Island,Manhattan,24.15098963040328
Astoria Park,Queens,21.706416780949542
Briarwood/Jamaica Hills,Queens,19.94506438392189
Springfield Gardens South,Queens,19.46830915083332
Jamaica,Queens,19.283942770328924
Corona,Queens,18.228768986602894
LaGuardia Airport,Queens,18.18133878190375
Jamaica Bay,Queens,17.100529347339744
Maspeth,Queens,17.0054503976978
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764706255662
JFK Airport,Queens,16.777725162957644
Battery Park,Manhattan,12.849780119004924
Morningside Heights,Manhattan,12.453697923929766
Battery Park City,Manhattan,12.448848287726346
Greenwich Village North,Manhattan,12.446949780963548
Rikers Island,Bronx,12.306299886703492
World Trade Center,Manhattan,12.29541178779986
